id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
0,F,1.6,1.25,0.575,43.70075425,15.025235,10.262519,13.324265,17.0
1,M,1.575,1.1625,0.375,32.41765325,12.927372,6.2085405,8.9300925,20.0
2,F,1.6125,1.275,0.4375,34.37376875,14.78426425,9.14271375,10.77281,10.0
3,M,1.225,0.9875,0.325,18.4555245,8.03708325,3.92640575,4.819415,9.0
4,I,1.375,1.025,0.3875,22.736299,9.87980075,5.51397775,6.9456275,10.0
5,F,1.45,1.1,0.3875,28.2644515,9.128539,6.0384435,9.4970825,13.0
6,M,1.5,1.1875,0.4,31.18445,14.75591475,7.66853975,8.278054,8.0
7,M,1.5875,1.2375,0.3875,37.9032815,18.24290325,8.66077225,10.489315,10.0
8,F,1.625,1.2375,0.45,38.2434755,11.43902325,6.93145275,15.025235,24.0
9,F,1.5625,1.25,0.425,33.40988575,13.9196045,5.40057975,11.056305,12.0
10,M,0.875,0.6375,0.2125,4.86193925,1.6159215,0.97805775,1.70097,10.0
11,F,1.2125,0.925,0.3125,19.447757,9.25611175,3.18931875,4.819415,8.0
12,F,1.3875,1.0625,0.3125,22.169309,9.07184,4.49339575,5.5281525,10.0
13,M,1.0,0.7875,0.25,9.73805325,4.1106775,1.31825175,2.65067825,8.0
14,F,1.6125,1.225,0.425,37.74735925,16.612807,8.29222875,11.4815475,9.0
15,I,0.6375,0.4625,0.1625,2.59397925,0.8788345,0.52446575,0.7087375,6.0
16,F,1.4125,1.1,0.4,26.421734,10.56018875,6.0951425,7.8528115,13.0
17,I,1.0125,0.75,0.2,9.65300475,3.458639,1.88524175,2.9766975,7.0
18,F,1.3125,0.9875,0.325,16.25843825,7.087375,3.86970675,4.819415,9.0
19,M,1.3875,1.075,0.3625,23.57260925,11.49572225,4.706017,6.27941425,10.0
20,M,0.9125,0.7,0.2375,7.18659825,3.75630875,1.43164975,2.1262125,7.0
21,M,1.6125,1.25,0.4,40.9083285,19.050864,9.525432,9.7805775,11.0
22,F,1.5125,1.2125,0.4375,32.6869735,15.06775925,7.01650125,9.63883,12.0
23,I,0.9375,0.7,0.2125,7.98038425,3.458639,1.63009625,2.26796,7.0
24,I,0.9875,0.7375,0.2125,8.8733935,3.798833,1.63009625,2.4097075,7.0
